CustomerID,Lookalikes
C0001,"[('C0107', 0.9997665720868362), ('C0137', 0.9996472744001471), ('C0184', 0.999631107658674)]"
C0002,"[('C0088', 0.9997209637866318), ('C0142', 0.9991413976577561), ('C0159', 0.9981521489971112)]"
C0003,"[('C0147', 0.9998366767426223), ('C0190', 0.9997824161325526), ('C0181', 0.9985856684475257)]"
C0004,"[('C0113', 0.9993252185819561), ('C0102', 0.9973919694275372), ('C0169', 0.9973358834648909)]"
C0005,"[('C0186', 0.9997067771613265), ('C0159', 0.9995739738714695), ('C0146', 0.9985465133422955)]"
C0006,"[('C0048', 0.9995692615176859), ('C0126', 0.9994339335377636), ('C0187', 0.9991291968336423)]"
C0007,"[('C0146', 0.9999996979493199), ('C0177', 0.9995657571722907), ('C0178', 0.9995539644950683)]"
C0008,"[('C0018', 0.9980420038453539), ('C0122', 0.9953829434573577), ('C0046', 0.9949310434419459)]"
C0009,"[('C0198', 0.9999946479626797), ('C0014', 0.9980812379966431), ('C0063', 0.9971860144654024)]"
C0010,"[('C0019', 0.9987568392889205), ('C0073', 0.9979480752236937), ('C0166', 0.997804494532268)]"
C0011,"[('C0107', 0.9996526816490782), ('C0048', 0.99958849669615), ('C0001', 0.9993022731881662)]"
C0012,"[('C0148', 0.9995609429792652), ('C0163', 0.9993293989694204), ('C0155', 0.9988550766123236)]"
C0013,"[('C0163', 0.9995738387464912), ('C0148', 0.9993390246382314), ('C0155', 0.9990797883526109)]"
C0014,"[('C0060', 0.9997561053453881), ('C0009', 0.9980812379966431), ('C0198', 0.9979006107380402)]"
C0015,"[('C0020', 0.9992996323745845), ('C0033', 0.9936046117334176), ('C0131', 0.9935788099814992)]"
C0016,"[('C0154', 0.9995074066541509), ('C0185', 0.9990505695145561), ('C0117', 0.9985901710899299)]"
C0017,"[('C0124', 0.9987784659932741), ('C0053', 0.9965812318583785), ('C0041', 0.9959448347628332)]"
C0018,"[('C0122', 0.9994364607252162), ('C0046', 0.9983424956586763), ('C0008', 0.9980420038453539)]"
C0019,"[('C0166', 0.9998255916120035), ('C0172', 0.9996118937485291), ('C0073', 0.9995746119153439)]"
C0020,"[('C0015', 0.9992996323745845), ('C0058', 0.9968851783721068), ('C0033', 0.9968249901137415)]"
